question_id,article_id,question_type,overall_score,passed,checks_passed,checks_total,passage_title,question_preview,grammatical_parallel_score,plausibility_score,homogeneity_score,specificity_balance_score,standard_alignment_score,clarity_precision_score,single_correct_answer_score,passage_reference_score,length_check_score,too_close_score,difficulty_assessment_score
quiz_302030_sibling_2,article_101004,MCQ,0.9090909090909091,True,10,11,"Alice’s Adventures in Wonderland, Part I",How does the author show that Alice's adventure becomes m...,1,1,1,1,0,1,1,1,1,1,1
quiz_302030_sibling_3,article_101004,MCQ,0.8181818181818182,True,9,11,"Alice’s Adventures in Wonderland, Part I","Based on details in the story, what message does the auth...",1,0,1,1,1,1,1,1,1,1,0
quiz_302030_sibling_4,article_101004,MCQ,0.9090909090909091,True,10,11,"Alice’s Adventures in Wonderland, Part I",What central idea about childhood does this story communi...,1,0,1,1,1,1,1,1,1,1,1
quiz_302031,article_101004,MCQ,1.0,True,11,11,"Alice’s Adventures in Wonderland, Part I",Read this outline and complete the missing part.I. Alice'...,1,1,1,1,1,1,1,1,1,1,1
quiz_302031_sibling_1,article_101004,MCQ,0.9090909090909091,True,10,11,"Alice’s Adventures in Wonderland, Part I",How does the section about Alice falling down the well bu...,0,1,1,1,1,1,1,1,1,1,1
quiz_302031_sibling_2,article_101004,MCQ,0.8181818181818182,True,9,11,"Alice’s Adventures in Wonderland, Part I",Which pair of events from the story shows how one part le...,1,0,1,1,1,1,1,1,0,1,1
quiz_302031_sibling_3,article_101004,MCQ,0.8181818181818182,True,9,11,"Alice’s Adventures in Wonderland, Part I",Read this summary of the story's main events. Which event...,1,1,1,1,1,1,1,1,0,1,0
quiz_302031_sibling_4,article_101004,MCQ,0.9090909090909091,True,10,11,"Alice’s Adventures in Wonderland, Part I",Which part of the story comes right after Alice lands in ...,1,1,1,1,1,1,1,1,1,1,0
quiz_302032,article_101004,MCQ,0.7272727272727273,False,8,11,"Alice’s Adventures in Wonderland, Part I",Why did the author write this story about Alice?,1,0,1,1,0,1,1,1,0,1,1
quiz_302032_sibling_1,article_101004,MCQ,0.9090909090909091,True,10,11,"Alice’s Adventures in Wonderland, Part I",Who is telling Alice's story to the readers?,1,1,1,1,1,1,1,1,1,1,0
quiz_302032_sibling_2,article_101004,MCQ,0.9090909090909091,True,10,11,"Alice’s Adventures in Wonderland, Part I",What is the author's main purpose in including Alice's th...,1,1,1,1,1,1,1,1,1,1,0
quiz_302032_sibling_3,article_101004,MCQ,0.8181818181818182,True,9,11,"Alice’s Adventures in Wonderland, Part I",How does the author want readers to feel about Alice's de...,1,1,1,1,1,1,1,1,0,1,0
quiz_302032_sibling_4,article_101004,MCQ,1.0,True,11,11,"Alice’s Adventures in Wonderland, Part I",How does the narrator tell this story differently than Al...,1,1,1,1,1,1,1,1,1,1,1
quiz_302037,article_101005,MCQ,0.9090909090909091,True,10,11,"Alice’s Adventures in Wonderland, Part II",Alice and the White Rabbit both react in the same way whe...,1,1,1,1,1,1,0,1,1,1,1
quiz_302037_sibling_1,article_101005,MCQ,0.8181818181818182,True,9,11,"Alice’s Adventures in Wonderland, Part II",What does Alice do after she realizes she cannot solve a...,1,1,1,1,1,0,0,1,1,1,1
quiz_302037_sibling_2,article_101005,MCQ,0.9090909090909091,True,10,11,"Alice’s Adventures in Wonderland, Part II","Based on the Caterpillar's reaction to Alice, what can re...",1,1,1,1,1,1,1,1,1,1,0
quiz_302037_sibling_3,article_101005,MCQ,1.0,True,11,11,"Alice’s Adventures in Wonderland, Part II",Which character trait does Alice show when she decides to...,1,1,1,1,1,1,1,1,1,1,1
quiz_302037_sibling_4,article_101005,MCQ,1.0,True,11,11,"Alice’s Adventures in Wonderland, Part II",How does Alice's reaction to her size problems change fro...,1,1,1,1,1,1,1,1,1,1,1
quiz_302038,article_101005,MCQ,0.9090909090909091,True,10,11,"Alice’s Adventures in Wonderland, Part II",How does Alice get back to her normal size at the end of...,1,1,1,1,0,1,1,1,1,1,1
quiz_302038_sibling_1,article_101005,MCQ,0.8181818181818182,True,9,11,"Alice’s Adventures in Wonderland, Part II",What important detail does the author include in paragrap...,1,1,1,1,0,1,1,1,0,1,1
quiz_302038_sibling_2,article_101005,MCQ,1.0,True,11,11,"Alice’s Adventures in Wonderland, Part II",What is the main message the author wants readers to unde...,1,1,1,1,1,1,1,1,1,1,1
quiz_302038_sibling_3,article_101005,MCQ,0.8181818181818182,True,9,11,"Alice’s Adventures in Wonderland, Part II","According to the story, what lesson does Alice learn abou...",1,1,1,1,0,0,1,1,1,1,1
quiz_302038_sibling_4,article_101005,MCQ,0.8181818181818182,True,9,11,"Alice’s Adventures in Wonderland, Part II",What key detail in the last paragraph shows that Alice fi...,1,1,1,1,0,1,1,1,1,1,0
quiz_302039,article_101005,MCQ,0.8181818181818182,True,9,11,"Alice’s Adventures in Wonderland, Part II",This story was most likely written to,1,0,1,1,0,1,1,1,1,1,1
quiz_302039_sibling_1,article_101005,MCQ,0.8181818181818182,True,9,11,"Alice’s Adventures in Wonderland, Part II",How does Alice's point of view about her size changes dif...,1,0,1,1,1,1,1,1,1,1,0
quiz_302039_sibling_2,article_101005,MCQ,0.9090909090909091,True,10,11,"Alice’s Adventures in Wonderland, Part II",This passage differs from a realistic story because it,1,1,1,1,0,1,1,1,1,1,1
quiz_302039_sibling_3,article_101005,MCQ,0.8181818181818182,True,9,11,"Alice’s Adventures in Wonderland, Part II",What happens in paragraph 2 that changes how Alice sees h...,1,1,1,1,0,1,1,1,0,1,1
quiz_302039_sibling_4,article_101005,MCQ,0.8181818181818182,True,9,11,"Alice’s Adventures in Wonderland, Part II",How does paragraph 3 connect to the problems Alice faced...,1,0,1,1,0,1,1,1,1,1,1
quiz_302040,article_101005,MCQ,0.8181818181818182,True,9,11,"Alice’s Adventures in Wonderland, Part II",How does each section of the story build on Alice's probl...,1,1,1,1,1,1,1,1,0,1,0
quiz_302040_sibling_1,article_101005,MCQ,0.9090909090909091,True,10,11,"Alice’s Adventures in Wonderland, Part II",The author organizes the story sections to show that Alic...,1,0,1,1,1,1,1,1,1,1,1
quiz_302040_sibling_2,article_101005,MCQ,1.0,True,11,11,"Alice’s Adventures in Wonderland, Part II","Based on how the author organizes paragraphs 1-3, what pa...",1,1,1,1,1,1,1,1,1,1,1
quiz_302040_sibling_3,article_101005,MCQ,1.0,True,11,11,"Alice’s Adventures in Wonderland, Part II","Throughout the story, what pattern does Alice experience...",1,1,1,1,1,1,1,1,1,1,1
quiz_302040_sibling_4,article_101005,MCQ,0.9090909090909091,True,10,11,"Alice’s Adventures in Wonderland, Part II","In paragraph 1, Alice experiences a problem that happens...",1,1,1,1,1,1,1,1,0,1,1
quiz_302041,article_101005,MCQ,0.7272727272727273,False,8,11,"Alice’s Adventures in Wonderland, Part II","In the story, which problem happens to Alice more than once?",1,0,1,1,0,1,1,1,0,1,1
quiz_302041_sibling_1,article_101005,MCQ,0.8181818181818182,True,9,11,"Alice’s Adventures in Wonderland, Part II",What happens multiple times in the story that shows Alice...,1,1,1,1,0,1,1,1,0,1,1
quiz_302041_sibling_2,article_101005,MCQ,1.0,True,11,11,"Alice’s Adventures in Wonderland, Part II",How does the author structure the first three paragraphs ...,1,1,1,1,1,1,1,1,1,1,1
quiz_302041_sibling_3,article_101005,MCQ,0.9090909090909091,True,10,11,"Alice’s Adventures in Wonderland, Part II","Based on paragraphs 1-3, which event keeps creating new p...",1,1,1,1,0,1,1,1,1,1,1
quiz_302041_sibling_4,article_101005,MCQ,0.9090909090909091,True,10,11,"Alice’s Adventures in Wonderland, Part II",How does the author structure the story to show that Alic...,1,1,1,1,1,1,1,1,1,1,0
quiz_302046,article_101006,MCQ,0.8181818181818182,True,9,11,"Alice’s Adventures in Wonderland, Part III",What does Alice do first when she arrives at the tea party?,1,0,1,1,1,1,1,1,0,1,1
quiz_302046_sibling_1,article_101006,MCQ,0.8181818181818182,True,9,11,"Alice’s Adventures in Wonderland, Part III","Based on the text, which action shows Alice's frustration...",1,1,1,1,1,1,0,1,1,0,1
quiz_302046_sibling_2,article_101006,MCQ,0.8181818181818182,True,9,11,"Alice’s Adventures in Wonderland, Part III",How does the Cheshire Cat's action of disappearing affect...,1,0,1,1,1,1,1,1,1,1,0
quiz_302046_sibling_3,article_101006,MCQ,0.9090909090909091,True,10,11,"Alice’s Adventures in Wonderland, Part III",What does Alice do after the Cheshire Cat tells her every...,1,1,1,1,1,1,1,1,0,1,1
quiz_302046_sibling_4,article_101006,MCQ,0.9090909090909091,True,10,11,"Alice’s Adventures in Wonderland, Part III",How does Alice's response to the March Hare's offer of le...,1,1,1,1,1,1,1,1,1,1,0
quiz_302047,article_101006,MCQ,0.8181818181818182,True,9,11,"Alice’s Adventures in Wonderland, Part III","What does the March Hare offer Alice, even though there i...",1,1,1,1,0,1,1,1,0,1,1
quiz_302047_sibling_1,article_101006,MCQ,1.0,True,11,11,"Alice’s Adventures in Wonderland, Part III",What is the main message the author shows through Alice's...,1,1,1,1,1,1,1,1,1,1,1
quiz_302047_sibling_2,article_101006,MCQ,0.9090909090909091,True,10,11,"Alice’s Adventures in Wonderland, Part III",What message does the story convey through the Mad Hatter...,1,1,1,1,1,1,1,1,1,1,0
quiz_302047_sibling_3,article_101006,MCQ,1.0,True,11,11,"Alice’s Adventures in Wonderland, Part III","Based on the entire passage, what central idea does the a...",1,1,1,1,1,1,1,1,1,1,1
quiz_302047_sibling_4,article_101006,MCQ,1.0,True,11,11,"Alice’s Adventures in Wonderland, Part III",What main message does the author share through Alice's c...,1,1,1,1,1,1,1,1,1,1,1
quiz_302048,article_101006,MCQ,0.9090909090909091,True,10,11,"Alice’s Adventures in Wonderland, Part III",Read this outline about Alice's journey. I. Characters Al...,1,1,1,1,0,1,1,1,1,1,1
quiz_302048_sibling_1,article_101006,MCQ,0.9090909090909091,True,10,11,"Alice’s Adventures in Wonderland, Part III",Which text details best help readers understand that the ...,1,1,1,1,0,1,1,1,1,1,1
quiz_302048_sibling_2,article_101006,MCQ,0.8181818181818182,True,9,11,"Alice’s Adventures in Wonderland, Part III",Look at this timeline of events:  1. Alice talks to Chesh...,1,0,1,1,0,1,1,1,1,1,1
quiz_302048_sibling_3,article_101006,MCQ,0.9090909090909091,True,10,11,"Alice’s Adventures in Wonderland, Part III",Which text details work together to show that the Cheshir...,1,1,1,1,0,1,1,1,1,1,1
quiz_302048_sibling_4,article_101006,MCQ,0.8181818181818182,True,9,11,"Alice’s Adventures in Wonderland, Part III","Look at this simple chart about Alice's journey:

Alice's...",1,1,1,1,0,1,0,1,1,1,1
quiz_302049,article_101006,MCQ,0.8181818181818182,True,9,11,"Alice’s Adventures in Wonderland, Part III",What is one way the author shows that Wonderland is a str...,1,0,1,1,0,1,1,1,1,1,1
quiz_302049_sibling_1,article_101006,MCQ,1.0,True,11,11,"Alice’s Adventures in Wonderland, Part III",Which part of the passage shows when Alice arrives at the...,1,1,1,1,1,1,1,1,1,1,1
quiz_302049_sibling_2,article_101006,MCQ,0.8181818181818182,True,9,11,"Alice’s Adventures in Wonderland, Part III",What does the author emphasize about Wonderland by descri...,1,1,1,1,0,1,1,1,1,1,0
quiz_302049_sibling_3,article_101006,MCQ,0.8181818181818182,True,9,11,"Alice’s Adventures in Wonderland, Part III",Which sentence from the passage shows the beginning of th...,1,1,1,1,0,1,1,1,0,1,1
quiz_302049_sibling_4,article_101006,MCQ,0.8181818181818182,True,9,11,"Alice’s Adventures in Wonderland, Part III","In paragraph 1, which part of the conversation with the C...",1,1,1,1,0,1,1,1,1,1,0
quiz_302054,article_101007,MCQ,0.9090909090909091,True,10,11,"Alice’s Adventures in Wonderland, Part IV",How does Alice most likely feel when the Queen screams 'O...,1,1,1,1,1,1,1,1,1,1,0
quiz_302054_sibling_1,article_101007,MCQ,0.8181818181818182,True,9,11,"Alice’s Adventures in Wonderland, Part IV",What does the Queen's action of shouting 'Off with his he...,1,0,1,1,1,1,1,1,1,1,0
quiz_302054_sibling_2,article_101007,MCQ,1.0,True,11,11,"Alice’s Adventures in Wonderland, Part IV",How does Alice's flamingo mallet make it difficult for he...,1,1,1,1,1,1,1,1,1,1,1
quiz_302054_sibling_3,article_101007,MCQ,1.0,True,11,11,"Alice’s Adventures in Wonderland, Part IV","Based on the croquet game description, what character tra...",1,1,1,1,1,1,1,1,1,1,1
quiz_302054_sibling_4,article_101007,MCQ,0.8181818181818182,True,9,11,"Alice’s Adventures in Wonderland, Part IV",What do the Gryphon and Mock Turtle's actions of telling...,1,0,1,1,1,1,1,1,1,1,0
quiz_302055,article_101007,MCQ,0.9090909090909091,True,10,11,"Alice’s Adventures in Wonderland, Part IV",What does Alice say during the trial when the Queen wants...,1,1,1,1,0,1,1,1,1,1,1
quiz_302055_sibling_1,article_101007,MCQ,0.8181818181818182,True,9,11,"Alice’s Adventures in Wonderland, Part IV",What central message does the author convey through Alice...,1,1,1,1,1,1,1,1,0,1,0
quiz_302055_sibling_2,article_101007,MCQ,0.9090909090909091,True,10,11,"Alice’s Adventures in Wonderland, Part IV",What message does the story convey through Alice's conver...,1,1,1,1,1,1,1,1,1,1,0
quiz_302055_sibling_3,article_101007,MCQ,0.8181818181818182,True,9,11,"Alice’s Adventures in Wonderland, Part IV",What is the main lesson Alice learns throughout her adven...,1,1,1,1,1,1,1,1,0,1,0
quiz_302055_sibling_4,article_101007,MCQ,0.9090909090909091,True,10,11,"Alice’s Adventures in Wonderland, Part IV","Based on the ending, what central message does Alice's si...",1,1,1,1,1,1,1,1,1,1,0
quiz_302056,article_101007,MCQ,0.7272727272727273,False,8,11,"Alice’s Adventures in Wonderland, Part IV",Why did the author write this story about Alice in Wonder...,1,0,1,0,1,1,1,1,0,1,1
quiz_302056_sibling_1,article_101007,MCQ,0.8181818181818182,True,9,11,"Alice’s Adventures in Wonderland, Part IV","According to the story, what phrase does Alice use to cha...",1,1,1,1,0,1,1,1,1,1,0
quiz_302056_sibling_2,article_101007,MCQ,0.8181818181818182,True,9,11,"Alice’s Adventures in Wonderland, Part IV",What detail from the passage shows how the trial demonstr...,1,1,1,1,0,1,1,1,1,1,0
quiz_302056_sibling_3,article_101007,MCQ,0.8181818181818182,True,9,11,"Alice’s Adventures in Wonderland, Part IV",From whose point of view is this story told?,1,1,1,1,1,1,1,1,0,1,0
quiz_302056_sibling_4,article_101007,MCQ,0.8181818181818182,True,9,11,"Alice’s Adventures in Wonderland, Part IV",What do the details about the witnesses not helping and t...,1,1,1,1,0,1,1,1,1,1,0
