question_id,article_id,source,overall_score,grammatical_parallel,plausibility,homogeneity,specificity_balance,standard_alignment,clarity_precision,single_correct_answer,passage_reference,length_check,too_close,difficulty_assessment
quiz_302023_sibling_2,article_101003,original,0.8181818181818182,1,0,1,1,1,1,1,1,0,1,1
quiz_302023_sibling_3,article_101003,original,0.8181818181818182,1,0,1,1,1,1,1,1,0,1,1
quiz_302023_sibling_4,article_101003,original,0.8181818181818182,1,0,1,1,1,1,1,1,1,1,0
quiz_302024,article_101003,original,0.6363636363636364,1,0,0,0,1,1,1,1,0,1,1
quiz_302024_sibling_1,article_101003,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302024_sibling_2,article_101003,original,0.9090909090909091,1,1,1,1,1,1,1,1,1,1,0
quiz_302024_sibling_3,article_101003,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302024_sibling_4,article_101003,original,0.9090909090909091,1,0,1,1,1,1,1,1,1,1,1
quiz_302037,article_101005,original,0.9090909090909091,1,1,1,1,1,1,0,1,1,1,1
quiz_302037_sibling_1,article_101005,original,0.8181818181818182,1,1,1,1,1,0,0,1,1,1,1
quiz_302037_sibling_2,article_101005,original,0.9090909090909091,1,1,1,1,1,1,1,1,1,1,0
quiz_302037_sibling_3,article_101005,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302037_sibling_4,article_101005,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302038,article_101005,original,0.9090909090909091,1,1,1,1,0,1,1,1,1,1,1
quiz_302038_sibling_1,article_101005,original,0.8181818181818182,1,1,1,1,0,1,1,1,0,1,1
quiz_302038_sibling_2,article_101005,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302038_sibling_3,article_101005,original,0.8181818181818182,1,1,1,1,0,0,1,1,1,1,1
quiz_302038_sibling_4,article_101005,original,0.8181818181818182,1,1,1,1,0,1,1,1,1,1,0
quiz_302039,article_101005,original,0.8181818181818182,1,0,1,1,0,1,1,1,1,1,1
quiz_302039_sibling_1,article_101005,original,0.8181818181818182,1,0,1,1,1,1,1,1,1,1,0
quiz_302039_sibling_2,article_101005,original,0.9090909090909091,1,1,1,1,0,1,1,1,1,1,1
quiz_302039_sibling_3,article_101005,original,0.8181818181818182,1,1,1,1,0,1,1,1,0,1,1
quiz_302039_sibling_4,article_101005,original,0.8181818181818182,1,0,1,1,0,1,1,1,1,1,1
quiz_302040,article_101005,original,0.8181818181818182,1,1,1,1,1,1,1,1,0,1,0
quiz_302040_sibling_1,article_101005,original,0.9090909090909091,1,0,1,1,1,1,1,1,1,1,1
quiz_302040_sibling_2,article_101005,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302040_sibling_3,article_101005,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302040_sibling_4,article_101005,original,0.9090909090909091,1,1,1,1,1,1,1,1,0,1,1
quiz_302041,article_101005,original,0.7272727272727273,1,0,1,1,0,1,1,1,0,1,1
quiz_302041_sibling_1,article_101005,original,0.8181818181818182,1,1,1,1,0,1,1,1,0,1,1
quiz_302041_sibling_2,article_101005,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302041_sibling_3,article_101005,original,0.9090909090909091,1,1,1,1,0,1,1,1,1,1,1
quiz_302041_sibling_4,article_101005,original,0.9090909090909091,1,1,1,1,1,1,1,1,1,1,0
quiz_302029,article_101004,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302029_sibling_1,article_101004,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302029_sibling_2,article_101004,original,0.8181818181818182,1,1,1,1,1,1,0,1,1,1,0
quiz_302029_sibling_3,article_101004,original,0.9090909090909091,1,1,1,1,1,1,1,1,1,0,1
quiz_302029_sibling_4,article_101004,original,0.9090909090909091,1,1,1,1,1,1,1,1,0,1,1
quiz_302030,article_101004,original,0.8181818181818182,1,1,1,1,1,1,0,1,0,1,1
quiz_302030_sibling_1,article_101004,original,0.8181818181818182,1,0,1,1,1,1,1,1,0,1,1
quiz_302030_sibling_2,article_101004,original,0.9090909090909091,1,1,1,1,0,1,1,1,1,1,1
quiz_302030_sibling_3,article_101004,original,0.8181818181818182,1,0,1,1,1,1,1,1,1,1,0
quiz_302030_sibling_4,article_101004,original,0.9090909090909091,1,0,1,1,1,1,1,1,1,1,1
quiz_302031,article_101004,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302031_sibling_1,article_101004,original,0.9090909090909091,0,1,1,1,1,1,1,1,1,1,1
quiz_302031_sibling_2,article_101004,original,0.8181818181818182,1,0,1,1,1,1,1,1,0,1,1
quiz_302031_sibling_3,article_101004,original,0.8181818181818182,1,1,1,1,1,1,1,1,0,1,0
quiz_302031_sibling_4,article_101004,original,0.9090909090909091,1,1,1,1,1,1,1,1,1,1,0
quiz_302032,article_101004,original,0.7272727272727273,1,0,1,1,0,1,1,1,0,1,1
quiz_302032_sibling_1,article_101004,original,0.9090909090909091,1,1,1,1,1,1,1,1,1,1,0
quiz_302032_sibling_2,article_101004,original,0.9090909090909091,1,1,1,1,1,1,1,1,1,1,0
quiz_302032_sibling_3,article_101004,original,0.8181818181818182,1,1,1,1,1,1,1,1,0,1,0
quiz_302032_sibling_4,article_101004,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302046,article_101006,original,0.8181818181818182,1,0,1,1,1,1,1,1,0,1,1
quiz_302046_sibling_1,article_101006,original,0.8181818181818182,1,1,1,1,1,1,0,1,1,0,1
quiz_302046_sibling_2,article_101006,original,0.8181818181818182,1,0,1,1,1,1,1,1,1,1,0
quiz_302046_sibling_3,article_101006,original,0.9090909090909091,1,1,1,1,1,1,1,1,0,1,1
quiz_302046_sibling_4,article_101006,original,0.9090909090909091,1,1,1,1,1,1,1,1,1,1,0
quiz_302047,article_101006,original,0.8181818181818182,1,1,1,1,0,1,1,1,0,1,1
quiz_302047_sibling_1,article_101006,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302047_sibling_2,article_101006,original,0.9090909090909091,1,1,1,1,1,1,1,1,1,1,0
quiz_302047_sibling_3,article_101006,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302047_sibling_4,article_101006,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302048,article_101006,original,0.9090909090909091,1,1,1,1,0,1,1,1,1,1,1
quiz_302048_sibling_1,article_101006,original,0.9090909090909091,1,1,1,1,0,1,1,1,1,1,1
quiz_302048_sibling_2,article_101006,original,0.8181818181818182,1,0,1,1,0,1,1,1,1,1,1
quiz_302048_sibling_3,article_101006,original,0.9090909090909091,1,1,1,1,0,1,1,1,1,1,1
quiz_302048_sibling_4,article_101006,original,0.8181818181818182,1,1,1,1,0,1,0,1,1,1,1
quiz_302049,article_101006,original,0.8181818181818182,1,0,1,1,0,1,1,1,1,1,1
quiz_302049_sibling_1,article_101006,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302049_sibling_2,article_101006,original,0.8181818181818182,1,1,1,1,0,1,1,1,1,1,0
quiz_302049_sibling_3,article_101006,original,0.8181818181818182,1,1,1,1,0,1,1,1,0,1,1
quiz_302049_sibling_4,article_101006,original,0.8181818181818182,1,1,1,1,0,1,1,1,1,1,0
quiz_302054,article_101007,original,0.9090909090909091,1,1,1,1,1,1,1,1,1,1,0
quiz_302054_sibling_1,article_101007,original,0.8181818181818182,1,0,1,1,1,1,1,1,1,1,0
quiz_302054_sibling_2,article_101007,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302054_sibling_3,article_101007,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302054_sibling_4,article_101007,original,0.8181818181818182,1,0,1,1,1,1,1,1,1,1,0
quiz_302055,article_101007,original,0.9090909090909091,1,1,1,1,0,1,1,1,1,1,1
quiz_302055_sibling_1,article_101007,original,0.8181818181818182,1,1,1,1,1,1,1,1,0,1,0
quiz_302055_sibling_2,article_101007,original,0.9090909090909091,1,1,1,1,1,1,1,1,1,1,0
quiz_302055_sibling_3,article_101007,original,0.8181818181818182,1,1,1,1,1,1,1,1,0,1,0
quiz_302055_sibling_4,article_101007,original,0.9090909090909091,1,1,1,1,1,1,1,1,1,1,0
quiz_302056,article_101007,original,0.7272727272727273,1,0,1,0,1,1,1,1,0,1,1
quiz_302056_sibling_1,article_101007,original,0.8181818181818182,1,1,1,1,0,1,1,1,1,1,0
quiz_302056_sibling_2,article_101007,original,0.8181818181818182,1,1,1,1,0,1,1,1,1,1,0
quiz_302056_sibling_3,article_101007,original,0.8181818181818182,1,1,1,1,1,1,1,1,0,1,0
quiz_302056_sibling_4,article_101007,original,0.8181818181818182,1,1,1,1,0,1,1,1,1,1,0
quiz_302057,article_101007,original,0.9090909090909091,1,0,1,1,1,1,1,1,1,1,1
quiz_302057_sibling_1,article_101007,original,0.9090909090909091,1,1,1,1,0,1,1,1,1,1,1
quiz_302057_sibling_2,article_101007,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302057_sibling_3,article_101007,original,0.8181818181818182,1,1,1,1,0,1,1,1,1,1,0
quiz_302057_sibling_4,article_101007,original,0.8181818181818182,1,0,1,1,1,1,1,1,1,1,0
quiz_302058,article_101007,original,0.9090909090909091,1,1,1,1,0,1,1,1,1,1,1
quiz_302058_sibling_1,article_101007,original,0.9090909090909091,1,1,1,1,1,1,0,1,1,1,1
quiz_302058_sibling_2,article_101007,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302058_sibling_3,article_101007,original,0.9090909090909091,1,1,1,1,1,1,1,1,0,1,1
quiz_302058_sibling_4,article_101007,original,0.8181818181818182,1,1,1,1,1,1,1,1,0,1,0
quiz_302062,article_101008,original,0.9090909090909091,1,0,1,1,1,1,1,1,1,1,1
quiz_302062_sibling_1,article_101008,original,0.9090909090909091,1,0,1,1,1,1,1,1,1,1,1
quiz_302062_sibling_2,article_101008,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302062_sibling_3,article_101008,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302062_sibling_4,article_101008,original,0.9090909090909091,1,1,1,1,1,1,1,1,0,1,1
quiz_302063,article_101008,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302063_sibling_1,article_101008,original,0.9090909090909091,1,1,1,1,1,1,1,1,0,1,1
quiz_302063_sibling_2,article_101008,original,0.9090909090909091,1,0,1,1,1,1,1,1,1,1,1
quiz_302063_sibling_3,article_101008,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302063_sibling_4,article_101008,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302064,article_101008,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302064_sibling_1,article_101008,original,0.8181818181818182,1,0,1,1,0,1,1,1,1,1,1
quiz_302064_sibling_2,article_101008,original,0.9090909090909091,1,1,1,1,1,1,1,1,0,1,1
quiz_302064_sibling_3,article_101008,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302064_sibling_4,article_101008,original,0.8181818181818182,1,1,1,1,0,1,1,1,1,1,0
quiz_302065,article_101008,original,0.9090909090909091,1,1,1,1,1,1,1,1,0,1,1
quiz_302065_sibling_1,article_101008,original,0.9090909090909091,1,1,1,1,1,1,1,1,1,1,0
quiz_302065_sibling_2,article_101008,original,0.8181818181818182,1,1,1,1,0,1,1,1,0,1,1
quiz_302065_sibling_3,article_101008,original,0.9090909090909091,1,1,1,1,1,1,1,1,1,1,0
quiz_302065_sibling_4,article_101008,original,0.9090909090909091,1,1,1,1,0,1,1,1,1,1,1
quiz_302070,article_101009,original,0.9090909090909091,1,0,1,1,1,1,1,1,1,1,1
quiz_302070_sibling_1,article_101009,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302070_sibling_2,article_101009,original,0.9090909090909091,1,0,1,1,1,1,1,1,1,1,1
quiz_302070_sibling_3,article_101009,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302070_sibling_4,article_101009,original,0.8181818181818182,1,1,1,1,1,1,1,1,0,1,0
quiz_302071,article_101009,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302071_sibling_1,article_101009,original,0.9090909090909091,1,1,1,1,1,1,1,1,0,1,1
quiz_302071_sibling_2,article_101009,original,0.9090909090909091,1,0,1,1,1,1,1,1,1,1,1
quiz_302071_sibling_3,article_101009,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302071_sibling_4,article_101009,original,0.9090909090909091,1,1,1,1,1,1,1,1,0,1,1
quiz_302072,article_101009,original,0.9090909090909091,1,1,1,1,0,1,1,1,1,1,1
quiz_302072_sibling_1,article_101009,original,0.9090909090909091,1,1,1,1,0,1,1,1,1,1,1
quiz_302072_sibling_2,article_101009,original,0.8181818181818182,1,1,1,1,1,1,1,1,0,1,0
quiz_302072_sibling_3,article_101009,original,0.8181818181818182,1,1,1,1,0,1,1,1,1,1,0
quiz_302072_sibling_4,article_101009,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302073,article_101009,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302073_sibling_1,article_101009,original,0.8181818181818182,1,0,1,1,1,1,1,1,0,1,1
quiz_302073_sibling_2,article_101009,original,0.9090909090909091,1,1,1,1,1,1,1,1,0,1,1
quiz_302073_sibling_3,article_101009,original,0.9090909090909091,1,1,1,1,0,1,1,1,1,1,1
quiz_302073_sibling_4,article_101009,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302074,article_101009,original,0.9090909090909091,1,1,1,1,1,1,1,1,0,1,1
quiz_302074_sibling_1,article_101009,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302074_sibling_2,article_101009,original,0.9090909090909091,1,1,1,1,1,1,1,1,1,1,0
quiz_302074_sibling_3,article_101009,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302074_sibling_4,article_101009,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302087,article_101011,original,0.9090909090909091,0,1,1,1,1,1,1,1,1,1,1
quiz_302087_sibling_1,article_101011,original,0.9090909090909091,1,1,1,1,1,1,1,1,0,1,1
quiz_302087_sibling_2,article_101011,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302087_sibling_3,article_101011,original,0.9090909090909091,1,1,1,1,1,1,1,1,0,1,1
quiz_302087_sibling_4,article_101011,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302088,article_101011,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302088_sibling_1,article_101011,original,0.9090909090909091,1,1,1,1,1,1,1,1,1,1,0
quiz_302088_sibling_2,article_101011,original,0.9090909090909091,1,0,1,1,1,1,1,1,1,1,1
quiz_302088_sibling_3,article_101011,original,0.9090909090909091,1,1,1,1,1,1,1,1,1,1,0
quiz_302088_sibling_4,article_101011,original,0.9090909090909091,1,1,1,1,1,1,1,1,1,1,0
quiz_302089,article_101011,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302089_sibling_1,article_101011,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302089_sibling_2,article_101011,original,0.7272727272727273,1,0,0,1,1,1,1,1,0,1,1
quiz_302089_sibling_3,article_101011,original,0.7272727272727273,1,0,1,1,0,1,1,1,0,1,1
quiz_302089_sibling_4,article_101011,original,0.7272727272727273,1,0,1,1,0,1,1,1,0,1,1
quiz_302090,article_101011,original,0.8181818181818182,1,0,1,1,1,1,1,1,0,1,1
quiz_302090_sibling_1,article_101011,original,0.9090909090909091,1,1,1,1,1,1,1,1,0,1,1
quiz_302090_sibling_2,article_101011,original,0.7272727272727273,1,0,1,1,0,1,1,1,0,1,1
quiz_302090_sibling_3,article_101011,original,0.7272727272727273,1,0,1,1,0,1,1,1,1,1,0
quiz_302090_sibling_4,article_101011,original,0.8181818181818182,1,1,1,1,0,1,1,1,0,1,1
quiz_302091,article_101011,original,0.9090909090909091,1,1,1,1,1,1,1,1,1,1,0
quiz_302091_sibling_1,article_101011,original,0.9090909090909091,1,1,1,1,1,1,1,1,1,1,0
quiz_302091_sibling_2,article_101011,original,0.6363636363636364,0,1,1,0,0,1,1,1,0,1,1
quiz_302091_sibling_3,article_101011,original,0.8181818181818182,1,1,1,1,0,1,1,1,0,1,1
quiz_302091_sibling_4,article_101011,original,0.9090909090909091,1,1,1,1,1,1,1,1,1,1,0
quiz_302096,article_101012,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302096_sibling_1,article_101012,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302096_sibling_2,article_101012,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302096_sibling_3,article_101012,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302096_sibling_4,article_101012,original,0.9090909090909091,1,1,1,1,1,1,1,1,0,1,1
quiz_302097,article_101012,original,0.9090909090909091,1,1,1,1,1,1,1,1,0,1,1
quiz_302097_sibling_1,article_101012,original,0.9090909090909091,1,1,1,1,1,1,1,1,0,1,1
quiz_302097_sibling_2,article_101012,original,0.8181818181818182,1,1,1,0,1,1,1,1,0,1,1
quiz_302097_sibling_3,article_101012,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302097_sibling_4,article_101012,original,0.8181818181818182,1,0,1,1,0,1,1,1,1,1,1
quiz_302098,article_101012,original,0.7272727272727273,1,0,1,0,0,1,1,1,1,1,1
quiz_302098_sibling_1,article_101012,original,0.8181818181818182,1,1,1,1,0,1,1,1,1,1,0
quiz_302098_sibling_2,article_101012,original,0.6363636363636364,1,0,0,0,0,1,1,1,1,1,1
quiz_302098_sibling_3,article_101012,original,0.9090909090909091,1,1,1,1,0,1,1,1,1,1,1
quiz_302098_sibling_4,article_101012,original,0.8181818181818182,1,0,1,1,0,1,1,1,1,1,1
quiz_302099,article_101012,original,0.8181818181818182,1,1,1,1,0,1,1,1,1,1,0
quiz_302099_sibling_1,article_101012,original,0.6363636363636364,1,0,0,0,0,1,1,1,1,1,1
quiz_302099_sibling_2,article_101012,original,0.9090909090909091,1,0,1,1,1,1,1,1,1,1,1
quiz_302099_sibling_3,article_101012,original,0.7272727272727273,1,0,0,1,1,1,1,1,1,1,0
quiz_302099_sibling_4,article_101012,original,0.8181818181818182,1,0,1,1,1,1,1,1,1,1,0
quiz_302104,article_101013,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302104_sibling_1,article_101013,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302104_sibling_2,article_101013,original,0.6363636363636364,0,0,1,0,1,1,1,0,1,1,1
quiz_302104_sibling_3,article_101013,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302104_sibling_4,article_101013,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302105,article_101013,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302105_sibling_1,article_101013,original,0.9090909090909091,1,1,1,1,1,1,1,1,0,1,1
quiz_302105_sibling_2,article_101013,original,0.9090909090909091,1,1,1,1,1,1,1,1,0,1,1
quiz_302105_sibling_3,article_101013,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302105_sibling_4,article_101013,original,0.9090909090909091,1,1,1,1,0,1,1,1,1,1,1
quiz_302106,article_101013,original,0.9090909090909091,1,1,1,1,0,1,1,1,1,1,1
quiz_302106_sibling_1,article_101013,original,0.9090909090909091,1,0,1,1,1,1,1,1,1,1,1
quiz_302106_sibling_2,article_101013,original,0.9090909090909091,1,1,1,1,1,1,1,1,1,1,0
quiz_302106_sibling_3,article_101013,original,0.9090909090909091,0,1,1,1,1,1,1,1,1,1,1
quiz_302106_sibling_4,article_101013,original,0.9090909090909091,1,1,1,1,1,1,1,1,1,1,0
quiz_302107,article_101013,original,0.5454545454545454,0,0,0,1,0,1,1,1,1,1,0
quiz_302107_sibling_1,article_101013,original,0.8181818181818182,1,0,0,1,1,1,1,1,1,1,1
quiz_302107_sibling_2,article_101013,original,0.7272727272727273,1,0,0,1,1,1,1,1,0,1,1
quiz_302107_sibling_3,article_101013,original,0.7272727272727273,1,0,1,1,0,1,1,1,1,1,0
quiz_302107_sibling_4,article_101013,original,0.8181818181818182,1,0,1,1,0,1,1,1,1,1,1
quiz_302111,article_101014,original,0.7272727272727273,1,0,0,1,1,1,1,1,0,1,1
quiz_302111_sibling_1,article_101014,original,0.9090909090909091,1,0,1,1,1,1,1,1,1,1,1
quiz_302111_sibling_2,article_101014,original,0.9090909090909091,1,1,1,1,1,1,1,1,0,1,1
quiz_302111_sibling_3,article_101014,original,0.8181818181818182,0,1,1,1,1,1,1,1,0,1,1
quiz_302111_sibling_4,article_101014,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302112,article_101014,original,0.9090909090909091,1,1,1,1,1,1,1,1,0,1,1
quiz_302112_sibling_1,article_101014,original,0.9090909090909091,1,1,1,1,0,1,1,1,1,1,1
quiz_302112_sibling_2,article_101014,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302112_sibling_3,article_101014,original,0.9090909090909091,1,1,1,1,1,1,1,1,0,1,1
quiz_302112_sibling_4,article_101014,original,0.8181818181818182,1,0,1,1,0,1,1,1,1,1,1
quiz_302113,article_101014,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302113_sibling_1,article_101014,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302113_sibling_2,article_101014,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302113_sibling_3,article_101014,original,0.9090909090909091,1,1,1,1,1,1,1,1,1,0,1
quiz_302113_sibling_4,article_101014,original,0.7272727272727273,0,1,1,0,1,1,1,1,0,1,1
quiz_302114,article_101014,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302114_sibling_1,article_101014,original,0.6363636363636364,1,0,1,1,0,1,0,1,0,1,1
quiz_302114_sibling_2,article_101014,original,0.8181818181818182,1,0,1,1,0,1,1,1,1,1,1
quiz_302114_sibling_3,article_101014,original,0.9090909090909091,1,1,1,1,1,1,1,1,0,1,1
quiz_302114_sibling_4,article_101014,original,1.0,1,1,1,1,1,1,1,1,1,1,1
quiz_302119,article_101015,original,0.6363636363636364,1,0,1,1,0,1,1,1,0,1,0
quiz_302119_sibling_1,article_101015,original,0.9090909090909091,1,1,1,1,0,1,1,1,1,1,1
quiz_302119_sibling_2,article_101015,original,0.9090909090909091,1,1,1,1,0,1,1,1,1,1,1
quiz_302119_sibling_3,article_101015,original,0.7272727272727273,1,0,0,1,0,1,1,1,1,1,1
quiz_302119_sibling_4,article_101015,original,0.8181818181818182,1,0,1,1,0,1,1,1,1,1,1
