question_id,article_id,content_hash,passage_title,question_preview,score,status,passed_total,failed_checks,run_id,clarity_precision,difficulty_assessment,grammatical_parallel,homogeneity,length_check,passage_reference,plausibility,single_correct_answer,specificity_balance,standard_alignment,too_close
quiz_302414,article_101051,64738ddbf40e,The Rise of Christianity,Which question can be answered by reading the passage?,73%,❌,8/11,"difficulty_assessment, homogeneity, plausibility",20260112_172559,✅,❌,✅,❌,✅,✅,❌,✅,✅,✅,✅
quiz_302414_sibling_1,article_101051,a63b5726d440,The Rise of Christianity,"According to the passage, what can be answered about Jesu...",82%,✅,9/11,"length_check, plausibility",20260112_172559,✅,✅,✅,✅,❌,✅,❌,✅,✅,✅,✅
quiz_302414_sibling_2,article_101051,4137c9a419ee,The Rise of Christianity,What information about Paul can be found in the passage?,100%,✅,11/11,,20260112_172559,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302414_sibling_3,article_101051,ef981513ace1,The Rise of Christianity,"Based on the passage, which question about Christians dur...",82%,✅,9/11,"difficulty_assessment, length_check",20260112_172559,✅,❌,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302414_sibling_4,article_101051,2ad4c281fd31,The Rise of Christianity,The passage provides enough information to answer which q...,73%,❌,8/11,"difficulty_assessment, length_check, too_close",20260112_172559,✅,❌,✅,✅,❌,✅,✅,✅,✅,✅,❌
quiz_302415,article_101051,804b1e5b8a94,The Rise of Christianity,"According to the passage, what change did Constantine mak...",73%,❌,8/11,"difficulty_assessment, homogeneity, plausibility",20260112_172559,✅,❌,✅,❌,✅,✅,❌,✅,✅,✅,✅
quiz_302415_sibling_1,article_101051,0d1c0ce53c32,The Rise of Christianity,What key change did Constantine make regarding Christiani...,73%,❌,8/11,"difficulty_assessment, length_check, plausibility",20260112_172559,✅,❌,✅,✅,❌,✅,❌,✅,✅,✅,✅
quiz_302415_sibling_2,article_101051,7796b4f014f9,The Rise of Christianity,"According to the passage, what was the main result of Pau...",82%,✅,9/11,"homogeneity, plausibility",20260112_172559,✅,✅,✅,❌,✅,✅,❌,✅,✅,✅,✅
quiz_302415_sibling_3,article_101051,92bc4bbe03e8,The Rise of Christianity,What is one main idea the passage develops about Christia...,100%,✅,11/11,,20260112_172559,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302415_sibling_4,article_101051,1dbf319d46f7,The Rise of Christianity,Which detail from the passage best supports the idea that...,55%,❌,6/11,"difficulty_assessment, grammatical_parallel, homogeneity, length_check, plausibility",20260112_172559,✅,❌,❌,❌,❌,✅,❌,✅,✅,✅,✅
quiz_302416,article_101051,ba21d4822403,The Rise of Christianity,How do the details in the passage support the main idea t...,91%,✅,10/11,difficulty_assessment,20260112_172559,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302416_sibling_1,article_101051,3a344bce90fd,The Rise of Christianity,How do the details about Roman emperors' concerns support...,82%,✅,9/11,"difficulty_assessment, plausibility",20260112_172559,✅,❌,✅,✅,✅,✅,❌,✅,✅,✅,✅
quiz_302416_sibling_2,article_101051,1a13171c3565,The Rise of Christianity,The passage suggests Christianity's eventual success was...,91%,✅,10/11,difficulty_assessment,20260112_172559,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302416_sibling_3,article_101051,49c7c710ef1d,The Rise of Christianity,What conclusion about Christianity can be drawn from deta...,73%,❌,8/11,"difficulty_assessment, length_check, plausibility",20260112_172559,✅,❌,✅,✅,❌,✅,❌,✅,✅,✅,✅
quiz_302416_sibling_4,article_101051,e3e715a5f40d,The Rise of Christianity,"Based on the entire passage, which statement best describ...",91%,✅,10/11,difficulty_assessment,20260112_172559,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302421,article_101052,1e96d3250ac9,The Second Rome: From Constantine to Justinian,What information from the passage is true for both Consta...,82%,✅,9/11,"length_check, standard_alignment",20260112_172559,✅,✅,✅,✅,❌,✅,✅,✅,✅,❌,✅
quiz_302421_sibling_1,article_101052,c8a3a0ae5726,The Second Rome: From Constantine to Justinian,"According to the passage, what did Constantine and Justin...",91%,✅,10/11,standard_alignment,20260112_172559,✅,✅,✅,✅,✅,✅,✅,✅,✅,❌,✅
quiz_302421_sibling_2,article_101052,3e88c27eea9d,The Second Rome: From Constantine to Justinian,How did Constantine show his special feelings about the c...,91%,✅,10/11,standard_alignment,20260112_172559,✅,✅,✅,✅,✅,✅,✅,✅,✅,❌,✅
quiz_302421_sibling_3,article_101052,a66e8ced8d31,The Second Rome: From Constantine to Justinian,"Based on the passage, which statement describes something...",73%,❌,8/11,"difficulty_assessment, single_correct_answer, standard_alignment",20260112_172559,✅,❌,✅,✅,✅,✅,✅,❌,✅,❌,✅
quiz_302421_sibling_4,article_101052,21d6b40db455,The Second Rome: From Constantine to Justinian,What information from the passage helps explain why Const...,82%,✅,9/11,"difficulty_assessment, standard_alignment",20260112_172559,✅,❌,✅,✅,✅,✅,✅,✅,✅,❌,✅
quiz_302422,article_101052,bd8d2cc082d7,The Second Rome: From Constantine to Justinian,This passage was most likely written to,91%,✅,10/11,difficulty_assessment,20260112_172559,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302422_sibling_1,article_101052,0817ca599a35,The Second Rome: From Constantine to Justinian,This passage was most likely written to,82%,✅,9/11,"difficulty_assessment, length_check",20260112_172559,✅,❌,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302422_sibling_2,article_101052,a9d1033a2bc8,The Second Rome: From Constantine to Justinian,What main point does the author make by describing both C...,91%,✅,10/11,difficulty_assessment,20260112_172559,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302422_sibling_3,article_101052,037467c32e0f,The Second Rome: From Constantine to Justinian,"Based on the information in the passage, what is the most...",73%,❌,8/11,"homogeneity, length_check, specificity_balance",20260112_172559,✅,✅,✅,❌,❌,✅,✅,✅,❌,✅,✅
quiz_302422_sibling_4,article_101052,eca03ad0d301,The Second Rome: From Constantine to Justinian,The author includes details about the empire splitting an...,82%,✅,9/11,"difficulty_assessment, length_check",20260112_172559,✅,❌,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302423,article_101052,09dd5f670817,The Second Rome: From Constantine to Justinian,What makes Constantine different from other Roman emperors?,91%,✅,10/11,length_check,20260112_172559,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302423_sibling_1,article_101052,f8eb361bcb8d,The Second Rome: From Constantine to Justinian,What made Constantine different from Roman emperors who c...,91%,✅,10/11,length_check,20260112_172559,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302423_sibling_2,article_101052,5ec64f1b1255,The Second Rome: From Constantine to Justinian,"According to the passage, what was the relationship betwe...",73%,❌,8/11,"difficulty_assessment, grammatical_parallel, plausibility",20260112_172559,✅,❌,❌,✅,✅,✅,❌,✅,✅,✅,✅
quiz_302423_sibling_3,article_101052,37c0c1e1c2a8,The Second Rome: From Constantine to Justinian,How did the division of the Roman Empire affect Rome and...,82%,✅,9/11,"difficulty_assessment, plausibility",20260112_172559,✅,❌,✅,✅,✅,✅,❌,✅,✅,✅,✅
quiz_302423_sibling_4,article_101052,d182161c1db6,The Second Rome: From Constantine to Justinian,Why did later emperors decide to split the Roman Empire i...,91%,✅,10/11,length_check,20260112_172559,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302424,article_101052,cb26a3f25d7a,The Second Rome: From Constantine to Justinian,Think about the whole passage. What was the plan for how...,100%,✅,11/11,,20260112_172559,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302424_sibling_1,article_101052,4b245d70b30a,The Second Rome: From Constantine to Justinian,"Based on the passage, what shows that Justinian cared abo...",82%,✅,9/11,"difficulty_assessment, length_check",20260112_172559,✅,❌,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302424_sibling_2,article_101052,996488bfbfa9,The Second Rome: From Constantine to Justinian,Think about Constantine's goal for Rome and Constantinopl...,91%,✅,10/11,difficulty_assessment,20260112_172559,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302424_sibling_3,article_101052,84a1ee6300d1,The Second Rome: From Constantine to Justinian,"According to the whole passage, what can readers conclude...",82%,✅,9/11,"difficulty_assessment, plausibility",20260112_172559,✅,❌,✅,✅,✅,✅,❌,✅,✅,✅,✅
quiz_302424_sibling_4,article_101052,9c18c782c6fc,The Second Rome: From Constantine to Justinian,What does the passage reveal about Constantine's plan whe...,55%,❌,6/11,"difficulty_assessment, homogeneity, length_check, plausibility, specificity_balance",20260112_172559,✅,❌,✅,❌,❌,✅,❌,✅,❌,✅,✅
quiz_302429,article_101053,3d95bb8768ce,Pompeii,The author of this passage would most likely agree that,91%,✅,10/11,difficulty_assessment,20260112_172559,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302429_sibling_1,article_101053,9578afb7c9b4,Pompeii,"Based on the author's description in paragraph 5, what vi...",91%,✅,10/11,difficulty_assessment,20260112_172559,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302429_sibling_2,article_101053,c86dc7afebc9,Pompeii,"According to the passage, which statement would the autho...",82%,✅,9/11,"plausibility, standard_alignment",20260112_172559,✅,✅,✅,✅,✅,✅,❌,✅,✅,❌,✅
quiz_302429_sibling_3,article_101053,9747c05576a1,Pompeii,The author describes the people putting pillows over thei...,100%,✅,11/11,,20260112_172559,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302429_sibling_4,article_101053,5ad7ae6fdc87,Pompeii,How does the author's description of Mount Vesuvius as 'a...,91%,✅,10/11,difficulty_assessment,20260112_172559,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302430,article_101053,75b9394d6e2b,Pompeii,What does the last paragraph suggest about the eruption o...,82%,✅,9/11,"length_check, standard_alignment",20260112_172559,✅,✅,✅,✅,❌,✅,✅,✅,✅,❌,✅
quiz_302430_sibling_1,article_101053,0c55edae41dc,Pompeii,Why does the author compare the eruption's destruction to...,73%,❌,8/11,"difficulty_assessment, plausibility, specificity_balance",20260112_172559,✅,❌,✅,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302430_sibling_2,article_101053,0c25b4011538,Pompeii,The third paragraph describes the deadly cloud moving at...,100%,✅,11/11,,20260112_172559,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302430_sibling_3,article_101053,df9d1516b6d4,Pompeii,"Based on the passage, what logical connection exists betw...",91%,✅,10/11,plausibility,20260112_172559,✅,✅,✅,✅,✅,✅,❌,✅,✅,✅,✅
quiz_302430_sibling_4,article_101053,f11a9d6eecae,Pompeii,"According to paragraph 2, what is the relationship betwee...",91%,✅,10/11,plausibility,20260112_172559,✅,✅,✅,✅,✅,✅,❌,✅,✅,✅,✅
quiz_302431,article_101053,2801b44209a6,Pompeii,Which sentence about Mount Vesuvius is true?,91%,✅,10/11,plausibility,20260112_172559,✅,✅,✅,✅,✅,✅,❌,✅,✅,✅,✅
quiz_302431_sibling_1,article_101053,5e7b5a789c34,Pompeii,"What detail from the passage shows that August 24th, AD 7...",64%,❌,7/11,"grammatical_parallel, homogeneity, length_check, plausibility",20260112_172559,✅,✅,❌,❌,❌,✅,❌,✅,✅,✅,✅
quiz_302431_sibling_2,article_101053,0611931e2581,Pompeii,"Based on the text, which statement about the people of Po...",100%,✅,11/11,,20260112_172559,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302431_sibling_3,article_101053,b46b6309f6cb,Pompeii,"According to the passage, which detail about the discover...",91%,✅,10/11,difficulty_assessment,20260112_172559,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302431_sibling_4,article_101053,d67f0a5f8272,Pompeii,Which sentence from the passage best supports the idea th...,82%,✅,9/11,"homogeneity, plausibility",20260112_172559,✅,✅,✅,❌,✅,✅,❌,✅,✅,✅,✅
quiz_302432,article_101053,f510d1963059,Pompeii,What is the main idea of this passage about Pompeii?,100%,✅,11/11,,20260112_172559,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302432_sibling_1,article_101053,893566b46cde,Pompeii,What main idea does the author communicate throughout the...,100%,✅,11/11,,20260112_172559,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302432_sibling_2,article_101053,64c3bd4ec572,Pompeii,The author explains that the ash was 'more than 80 inches...,91%,✅,10/11,plausibility,20260112_172559,✅,✅,✅,✅,✅,✅,❌,✅,✅,✅,✅
quiz_302432_sibling_3,article_101053,22b1c7e327a2,Pompeii,"Based on all the information in the passage, what conclus...",82%,✅,9/11,"difficulty_assessment, too_close",20260112_172559,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,❌
quiz_302432_sibling_4,article_101053,b64a09bc4eac,Pompeii,Why does the author describe both the destruction of Pomp...,73%,❌,8/11,"difficulty_assessment, length_check, plausibility",20260112_172559,✅,❌,✅,✅,❌,✅,❌,✅,✅,✅,✅
quiz_302437,article_101054,173d8065225d,How Horatius Held the Bridge,The reader can tell this story about Horatius is a legend...,82%,✅,9/11,"homogeneity, plausibility",20260112_172559,✅,✅,✅,❌,✅,✅,❌,✅,✅,✅,✅
quiz_302437_sibling_1,article_101054,6d1e2a828552,How Horatius Held the Bridge,How does the story show it takes place in ancient times r...,82%,✅,9/11,"single_correct_answer, standard_alignment",20260112_172559,✅,✅,✅,✅,✅,✅,✅,❌,✅,❌,✅
quiz_302437_sibling_2,article_101054,4787980dd301,How Horatius Held the Bridge,Which detail from paragraph 3 helps readers understand th...,91%,✅,10/11,standard_alignment,20260112_172559,✅,✅,✅,✅,✅,✅,✅,✅,✅,❌,✅
quiz_302437_sibling_3,article_101054,08a11ef50239,How Horatius Held the Bridge,"Based on paragraph 4, what makes the battle scene typical...",64%,❌,7/11,"clarity_precision, difficulty_assessment, single_correct_answer, standard_alignment",20260112_172559,❌,❌,✅,✅,✅,✅,✅,❌,✅,❌,✅
quiz_302437_sibling_4,article_101054,759a3e700512,How Horatius Held the Bridge,"In paragraph 5, what legendary element appears when Horat...",64%,❌,7/11,"clarity_precision, difficulty_assessment, single_correct_answer, standard_alignment",20260112_172559,❌,❌,✅,✅,✅,✅,✅,❌,✅,❌,✅
quiz_302438,article_101054,ec3bd4ec2594,How Horatius Held the Bridge,The author probably wrote this story about Horatius to,100%,✅,11/11,,20260112_172559,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302438_sibling_1,article_101054,25f175b35c1a,How Horatius Held the Bridge,Why does the author include Horatius's speech in paragrap...,82%,✅,9/11,"difficulty_assessment, standard_alignment",20260112_172559,✅,❌,✅,✅,✅,✅,✅,✅,✅,❌,✅
quiz_302438_sibling_2,article_101054,6c882753fbf7,How Horatius Held the Bridge,What does the author want readers to understand by descri...,55%,❌,6/11,"difficulty_assessment, homogeneity, passage_reference, plausibility, standard_alignment",20260112_172559,✅,❌,✅,❌,✅,❌,❌,✅,✅,❌,✅
quiz_302438_sibling_3,article_101054,8a9c894d4755,How Horatius Held the Bridge,"Based on the opening paragraphs, what does the author wan...",64%,❌,7/11,"clarity_precision, difficulty_assessment, single_correct_answer, standard_alignment",20260112_172559,❌,❌,✅,✅,✅,✅,✅,❌,✅,❌,✅
quiz_302438_sibling_4,article_101054,7c56fa4a4c53,How Horatius Held the Bridge,The author describes Horatius jumping into the river afte...,73%,❌,8/11,"difficulty_assessment, specificity_balance, standard_alignment",20260112_172559,✅,❌,✅,✅,✅,✅,✅,✅,❌,❌,✅
quiz_302439,article_101054,e52ca6632e00,How Horatius Held the Bridge,Place the words that complete the outline about the story...,91%,✅,10/11,standard_alignment,20260112_172559,✅,✅,✅,✅,✅,✅,✅,✅,✅,❌,✅
quiz_302439_sibling_1,article_101054,8eda90e2d01e,How Horatius Held the Bridge,"According to paragraph 2, what needed to happen for the s...",91%,✅,10/11,standard_alignment,20260112_172559,✅,✅,✅,✅,✅,✅,✅,✅,✅,❌,✅
quiz_302439_sibling_2,article_101054,afcb80e40892,How Horatius Held the Bridge,Place the events in order to show how the conflict develo...,91%,✅,10/11,standard_alignment,20260112_172559,✅,✅,✅,✅,✅,✅,✅,✅,✅,❌,✅
quiz_302439_sibling_3,article_101054,b6fefdab73d9,How Horatius Held the Bridge,Which sentence best completes the outline showing the sto...,73%,❌,8/11,"difficulty_assessment, length_check, standard_alignment",20260112_172559,✅,❌,✅,✅,❌,✅,✅,✅,✅,❌,✅
quiz_302439_sibling_4,article_101054,ecfccfe7a624,How Horatius Held the Bridge,"Based on paragraphs 4-5, which detail is most important t...",82%,✅,9/11,"difficulty_assessment, standard_alignment",20260112_172559,✅,❌,✅,✅,✅,✅,✅,✅,✅,❌,✅
quiz_302440,article_101054,af55e73adcb0,How Horatius Held the Bridge,Why did the people call Horatius a hero?,91%,✅,10/11,plausibility,20260112_172559,✅,✅,✅,✅,✅,✅,❌,✅,✅,✅,✅
quiz_302440_sibling_1,article_101054,65f1bcc1b48f,How Horatius Held the Bridge,Why does the story explain that Horatius 'almost drowned'...,82%,✅,9/11,"difficulty_assessment, standard_alignment",20260112_172559,✅,❌,✅,✅,✅,✅,✅,✅,✅,❌,✅
quiz_302440_sibling_2,article_101054,890d9d235237,How Horatius Held the Bridge,What lesson does the story teach by showing the Romans ga...,91%,✅,10/11,difficulty_assessment,20260112_172559,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302440_sibling_3,article_101054,87d0d170e3a1,How Horatius Held the Bridge,The story shows Horatius is a hero because he,100%,✅,11/11,,20260112_172559,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302440_sibling_4,article_101054,aad82c0b34fa,How Horatius Held the Bridge,"Based on the entire story, why did Romans tell this legen...",100%,✅,11/11,,20260112_172559,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302445,article_101055,e905b718f834,What Is Light?,What information from the passage is true for both the su...,91%,✅,10/11,standard_alignment,20260112_172559,✅,✅,✅,✅,✅,✅,✅,✅,✅,❌,✅
quiz_302445_sibling_1,article_101055,2f2b0d835282,What Is Light?,"According to the passage, how are stars and the moon diff...",91%,✅,10/11,standard_alignment,20260112_172559,✅,✅,✅,✅,✅,✅,✅,✅,✅,❌,✅
quiz_302445_sibling_2,article_101055,1018076c17d6,What Is Light?,What information about light energy is true for both shor...,82%,✅,9/11,"plausibility, standard_alignment",20260112_172559,✅,✅,✅,✅,✅,✅,❌,✅,✅,❌,✅
quiz_302445_sibling_3,article_101055,0675dea5b01b,What Is Light?,"Based on the passage, what do candles and flashlights hav...",73%,❌,8/11,"difficulty_assessment, plausibility, standard_alignment",20260112_172559,✅,❌,✅,✅,✅,✅,❌,✅,✅,❌,✅
quiz_302445_sibling_4,article_101055,cd8be5ed216a,What Is Light?,"According to the information in the passage, what is simi...",55%,❌,6/11,"difficulty_assessment, homogeneity, plausibility, specificity_balance, standard_alignment",20260112_172559,✅,❌,✅,❌,✅,✅,❌,✅,❌,❌,✅
quiz_302446,article_101055,7693c8130c66,What Is Light?,Which is the main theme in this passage?,82%,✅,9/11,"length_check, specificity_balance",20260112_172559,✅,✅,✅,✅,❌,✅,✅,✅,❌,✅,✅
quiz_302446_sibling_1,article_101055,7dbbc287e704,What Is Light?,The passage explains that light is important for many rea...,91%,✅,10/11,specificity_balance,20260112_172559,✅,✅,✅,✅,✅,✅,✅,✅,❌,✅,✅
quiz_302446_sibling_2,article_101055,c6abbbf6b84c,What Is Light?,What is the main message the author wants readers to unde...,100%,✅,11/11,,20260112_172559,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302446_sibling_3,article_101055,cfb6fe7db134,What Is Light?,Which statement best captures the central idea the passag...,82%,✅,9/11,"difficulty_assessment, too_close",20260112_172559,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,❌
quiz_302446_sibling_4,article_101055,e35166f8f0d1,What Is Light?,The author develops a main theme throughout the passage....,82%,✅,9/11,"difficulty_assessment, specificity_balance",20260112_172559,✅,❌,✅,✅,✅,✅,✅,✅,❌,✅,✅
quiz_302447,article_101055,0d3de337f13f,What Is Light?,"According to the passage, the sun's light and heat energy...",82%,✅,9/11,"homogeneity, plausibility",20260112_172559,✅,✅,✅,❌,✅,✅,❌,✅,✅,✅,✅
quiz_302447_sibling_1,article_101055,ba6697ad3977,What Is Light?,The passage states that plants need the sun's light to gr...,82%,✅,9/11,"homogeneity, plausibility",20260112_172559,✅,✅,✅,❌,✅,✅,❌,✅,✅,✅,✅
quiz_302447_sibling_2,article_101055,b38e19f9eed8,What Is Light?,"According to the passage, why would Earth be freezing col...",100%,✅,11/11,,20260112_172559,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302447_sibling_3,article_101055,d59c126698b7,What Is Light?,What relationship does the passage describe between visib...,82%,✅,9/11,"length_check, plausibility",20260112_172559,✅,✅,✅,✅,❌,✅,❌,✅,✅,✅,✅
quiz_302447_sibling_4,article_101055,51ea12377f5a,What Is Light?,"Based on the passage, what would happen to plants if the...",91%,✅,10/11,plausibility,20260112_172559,✅,✅,✅,✅,✅,✅,❌,✅,✅,✅,✅
quiz_302448,article_101055,533049f61643,What Is Light?,"Part A: Based on the information in the passage, what is...",100%,✅,11/11,,20260112_172559,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302448_sibling_1,article_101055,7036e315d86e,What Is Light?,"Part A: According to the passage, what can you conclude a...",100%,✅,11/11,,20260112_172559,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302448_sibling_2,article_101055,5c64b5ba22a0,What Is Light?,"Part A: The passage explains that light travels at 186,00...",82%,✅,9/11,"plausibility, specificity_balance",20260112_172559,✅,✅,✅,✅,✅,✅,❌,✅,❌,✅,✅
quiz_302448_sibling_3,article_101055,159d3034957d,What Is Light?,"Part A: Based on information in the passage, what conclus...",91%,✅,10/11,length_check,20260112_172559,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302448_sibling_4,article_101055,498acc1da17d,What Is Light?,"Part A: According to the passage, what can you determine...",91%,✅,10/11,length_check,20260112_172559,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302449,article_101055,bb21e126f2bb,What Is Light?,Part B: The author states that violet light has the short...,91%,✅,10/11,difficulty_assessment,20260112_172559,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302449_sibling_1,article_101055,acccc3827e0a,What Is Light?,Part B: The passage states that red light has the longest...,100%,✅,11/11,,20260112_172559,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302449_sibling_2,article_101055,5e4cff95916c,What Is Light?,Part B: The passage describes both visible and invisible...,100%,✅,11/11,,20260112_172559,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302449_sibling_3,article_101055,16dfabd0aa67,What Is Light?,Part B: Based on the passage's explanation of wavelengths...,82%,✅,9/11,"difficulty_assessment, standard_alignment",20260112_172559,✅,❌,✅,✅,✅,✅,✅,✅,✅,❌,✅
quiz_302449_sibling_4,article_101055,53a33c126dd5,What Is Light?,Part B: The passage explains that light from stars is 'no...,91%,✅,10/11,standard_alignment,20260112_172559,✅,✅,✅,✅,✅,✅,✅,✅,✅,❌,✅
quiz_302454,article_101056,5f0ca8441792,How Are Shadows Made?,Someone might read this passage primarily to,82%,✅,9/11,"length_check, plausibility",20260112_172559,✅,✅,✅,✅,❌,✅,❌,✅,✅,✅,✅
quiz_302454_sibling_1,article_101056,61a6974b8d6a,How Are Shadows Made?,What is the most likely reason the author explains how to...,82%,✅,9/11,"length_check, plausibility",20260112_172559,✅,✅,✅,✅,❌,✅,❌,✅,✅,✅,✅
quiz_302454_sibling_2,article_101056,1da8c5c53c3f,How Are Shadows Made?,"Based on the information in this article, who would find...",91%,✅,10/11,plausibility,20260112_172559,✅,✅,✅,✅,✅,✅,❌,✅,✅,✅,✅
quiz_302454_sibling_3,article_101056,182ba11913eb,How Are Shadows Made?,Why does the author include the detail about buildings ha...,100%,✅,11/11,,20260112_172559,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302454_sibling_4,article_101056,f617649c5e42,How Are Shadows Made?,The author asks 'Can you find transparent objects that le...,91%,✅,10/11,length_check,20260112_172559,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅
quiz_302455,article_101056,25c5c6fe9df2,How Are Shadows Made?,How does the author mostly present the information in the...,100%,✅,11/11,,20260112_172559,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302455_sibling_1,article_101056,c3e6199d0957,How Are Shadows Made?,What organizational pattern does the author use in the se...,100%,✅,11/11,,20260112_172559,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
quiz_302455_sibling_2,article_101056,e551abf6d43e,How Are Shadows Made?,Why does the author describe the experiment with the tree...,82%,✅,9/11,"difficulty_assessment, plausibility",20260112_172559,✅,❌,✅,✅,✅,✅,❌,✅,✅,✅,✅
